id,host_response_rate,host_acceptance_rate,host_identity_verified,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,maximum_minimum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,is_entire_unit,location_chicago,location_kauai,has_luxury_words
917610.9999999999,100.0,81.0,1,1.0,1.0,1.0,1.0,124.99999999999999,3.0,89.0,3.0,343.0,250.0,16.0,0.0,4.99,4.98,4.99,4.99,4.98,4.95,4.94,0,1.0,0.0,2.02,0,True,False,1
298170.0,100.0,94.0,1,8.0,2.0,2.9999999999999996,3.0,230.00000000000003,32.0,1125.0,32.0,359.0,77.0,1.0,0.0,4.78,4.81,4.91,4.76,4.62,4.88,4.71,1,0.0,0.0,0.67,1,True,False,1
386102.0,100.0,100.0,0,5.0,1.0,2.0,3.0,208.0,3.0,28.0,4.0,196.0,688.0,42.0,1.0,4.95,4.97,4.93,4.97,4.95,4.91,4.88,0,0.0,0.0,4.19,1,True,False,0
762410.0,100.0,100.0,1,2.0,1.0,1.0,1.0,167.0,32.0,125.0,32.0,364.0,320.0,2.0,0.0,4.9,4.93,4.84,4.97,4.97,4.71,4.86,0,0.0,0.0,1.94,1,True,False,1
409023.0,100.0,100.0,1,1.0,1.0,1.0,1.0,73.0,32.0,120.0,32.0,0.0,48.0,2.0,0.0,4.92,4.98,4.72,4.98,5.0,4.76,4.85,0,0.0,0.0,0.29,0,True,False,0
238545.00000000003,50.0,28.999999999999996,0,1.0,1.5,1.0,1.0,45.0,32.0,1125.0,32.0,161.0,6.0,0.0,0.0,3.67,3.67,3.5,4.5,4.0,3.33,4.0,0,3.0,0.0,0.05,0,True,False,1
218832.0,100.0,50.0,1,2.0,1.0,1.0,1.0,43.0,32.0,1125.0,32.0,365.0,30.000000000000004,1.0,0.0,4.8,4.83,4.67,4.97,4.87,4.8,4.67,0,2.0,0.0,0.23,0,True,False,1
200977.0,100.0,97.0,1,2.0,1.0,1.0,1.0,57.0,2.0,14.0,2.0,79.0,201.0,33.0,0.0,4.82,4.88,4.85,4.94,4.88,4.79,4.78,0,2.0,0.0,1.23,0,True,False,1
597427.0,100.0,93.0,1,2.0,1.0,1.0,1.0,115.00000000000001,2.0,7.0,2.0,2.0,295.0,12.0,0.0,4.97,4.96,4.98,4.96,4.98,4.89,4.9,0,1.0,0.0,1.87,0,True,False,1
245320.0,100.0,100.0,1,5.0,2.0,2.0,2.0,189.0,2.0,1125.0,3.0,214.0,277.0,32.0,0.0,4.91,4.93,4.92,4.76,4.91,4.9,4.77,0,0.0,0.0,2.69,1,True,False,1
